               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10985,            0.015412,             0.07618,           0.0045965,             0.20455,           0.0041711,          0.00073067,             0.10101,            0.012358,            0.075877,              0.0973,              0.0003,              0.0003
                   1,              0.1074,            0.019663,            0.074966,           0.0066327,             0.29545,           0.0060179,           0.0010614,            0.091793,            0.013979,            0.073365,            0.093699,          0.00069861,          0.00069861
                   2,            0.099553,            0.023287,            0.072391,           0.0081684,             0.33333,           0.0066794,           0.0011533,            0.082309,            0.016023,            0.070058,            0.090096,           0.0010956,           0.0010956
                   3,            0.089659,            0.026208,            0.067423,           0.0077214,             0.32727,           0.0066194,           0.0014219,            0.078967,            0.016844,            0.065114,            0.086491,           0.0014911,           0.0014911
                   4,            0.086055,            0.024991,            0.062079,            0.014756,             0.71364,            0.013806,           0.0031194,            0.073268,            0.017531,            0.060922,            0.082885,            0.001885,            0.001885
                   5,            0.078647,            0.028651,            0.059586,            0.016272,             0.90909,            0.024071,           0.0065936,            0.070217,            0.017845,            0.056953,            0.079277,           0.0022772,           0.0022772
                   6,             0.07159,            0.026596,            0.054486,            0.014146,             0.95455,            0.059538,            0.021126,            0.067323,            0.017714,            0.052562,            0.075668,           0.0026679,           0.0026679
                   7,            0.064832,            0.027598,            0.050881,            0.011894,             0.95455,             0.18938,            0.066098,            0.066267,            0.016459,            0.047212,            0.072057,            0.003057,            0.003057
                   8,            0.068944,            0.024386,            0.043149,             0.04305,             0.95455,             0.13207,            0.044957,             0.07199,            0.014477,            0.041289,            0.068445,           0.0034446,           0.0034446
                   9,            0.069015,            0.021056,            0.040566,            0.052531,             0.88636,            0.062838,            0.024166,            0.075387,            0.012774,            0.038008,            0.064831,           0.0038305,           0.0038305
                  10,            0.069319,            0.024244,            0.038955,            0.052108,             0.70455,            0.063031,            0.026432,            0.077654,            0.012192,            0.036772,            0.061215,           0.0042149,           0.0042149
                  11,            0.065678,            0.022957,            0.037304,            0.082532,             0.47576,             0.10308,            0.027212,            0.079069,            0.011841,            0.036965,            0.057598,           0.0045976,           0.0045976
                  12,            0.070744,            0.020761,            0.036737,            0.074191,             0.66818,            0.095543,            0.023047,            0.084015,            0.012389,            0.037253,            0.053979,           0.0049788,           0.0049788
                  13,            0.066833,            0.020054,            0.034473,              0.3254,             0.60606,             0.34807,            0.080278,            0.069167,             0.01261,            0.037102,            0.050358,           0.0053584,           0.0053584
                  14,            0.064035,            0.018814,            0.036853,             0.22162,             0.60909,             0.22934,            0.055915,             0.08373,            0.011985,             0.03621,            0.046736,           0.0057365,           0.0057365
                  15,            0.072398,             0.01661,            0.035004,              0.4358,             0.77205,             0.50613,             0.16152,            0.085067,            0.011444,            0.035524,            0.043113,           0.0061129,           0.0061129
                  16,            0.070626,            0.019337,            0.034315,            0.099187,             0.76818,             0.10803,            0.038348,            0.080993,            0.011369,            0.035264,            0.039488,           0.0064877,           0.0064877
                  17,            0.070329,            0.014014,            0.031081,             0.27049,              0.7697,             0.30784,             0.09501,            0.074712,            0.010437,            0.033165,            0.035861,            0.006861,            0.006861
                  18,              0.0617,            0.017067,            0.034377,             0.14887,             0.61667,             0.19147,            0.050975,            0.076598,            0.009958,            0.032509,            0.032233,           0.0072327,           0.0072327
                  19,            0.066253,            0.018066,            0.032626,             0.11734,             0.78636,             0.14048,            0.042715,            0.074876,            0.010097,             0.03183,            0.028603,           0.0076028,           0.0076028
                  20,            0.062743,            0.018165,            0.033289,             0.33915,             0.54091,              0.4603,             0.18301,            0.068805,           0.0098087,            0.030942,            0.024971,           0.0079713,           0.0079713
                  21,            0.060873,            0.015643,            0.030531,             0.13919,             0.66212,             0.13738,            0.035653,            0.086797,            0.010009,            0.030542,            0.021338,           0.0083383,           0.0083383
                  22,            0.075323,            0.014116,            0.032636,             0.17873,             0.85303,             0.19458,            0.092029,            0.075679,           0.0093098,            0.030032,            0.017704,           0.0087036,           0.0087036
                  23,            0.073227,            0.017681,            0.032974,             0.12178,             0.58148,             0.20731,            0.066622,            0.072696,           0.0094445,            0.029192,            0.014067,           0.0090674,           0.0090674
                  24,            0.067863,             0.01538,            0.032148,             0.21241,             0.65455,             0.28326,            0.083127,            0.082732,           0.0090161,            0.028568,             0.01043,           0.0094296,           0.0094296
                  25,            0.070998,            0.016114,            0.033004,             0.22629,             0.51745,             0.33703,             0.11958,            0.072949,           0.0088473,            0.028518,            0.009505,            0.009505,            0.009505
                  26,            0.059974,             0.01529,            0.030619,              0.2922,             0.68333,             0.43074,             0.13544,            0.064925,           0.0089084,            0.027992,            0.009505,            0.009505,            0.009505
                  27,            0.055586,            0.015776,            0.029461,             0.31317,             0.72273,              0.4714,             0.13466,            0.072427,           0.0086337,            0.027423,           0.0094852,           0.0094852,           0.0094852
                  28,            0.062167,            0.017158,            0.031291,             0.30272,             0.74545,             0.46883,             0.21435,            0.066997,           0.0087426,            0.027559,           0.0094654,           0.0094654,           0.0094654
                  29,            0.059505,            0.018886,            0.031374,             0.34638,             0.68711,             0.38304,              0.1099,            0.059669,           0.0088774,            0.027485,           0.0094456,           0.0094456,           0.0094456
                  30,            0.053895,            0.016842,            0.029902,             0.40841,             0.57412,             0.48537,             0.26093,            0.074472,            0.008096,            0.027795,           0.0094258,           0.0094258,           0.0094258
                  31,            0.064071,            0.015135,            0.030649,              0.4839,             0.79545,             0.56766,              0.2159,            0.059725,           0.0085435,            0.027326,            0.009406,            0.009406,            0.009406
                  32,             0.05704,            0.018632,            0.032665,             0.15232,             0.75758,              0.1717,             0.10678,            0.076304,            0.008688,            0.028101,           0.0093862,           0.0093862,           0.0093862
                  33,            0.063078,            0.013119,            0.028211,             0.19122,             0.75991,             0.22941,            0.084105,            0.065406,           0.0087091,            0.027803,           0.0093664,           0.0093664,           0.0093664
                  34,            0.061467,            0.014729,            0.030468,             0.37666,             0.72879,             0.46256,             0.23199,            0.060589,           0.0081205,            0.028013,           0.0093466,           0.0093466,           0.0093466
                  35,            0.053559,            0.016261,            0.031886,             0.16909,             0.78373,             0.20026,            0.078858,            0.068382,           0.0086127,            0.027362,           0.0093268,           0.0093268,           0.0093268
                  36,            0.060754,             0.01332,            0.029352,             0.37204,             0.80758,             0.58707,             0.34151,            0.060533,           0.0087579,            0.027017,            0.009307,            0.009307,            0.009307
                  37,            0.057223,            0.017756,            0.028852,              0.4049,             0.84697,             0.60681,             0.24644,            0.056599,           0.0089193,            0.026487,           0.0092872,           0.0092872,           0.0092872
                  38,            0.051826,            0.014469,            0.028584,             0.48196,             0.84697,             0.62183,             0.40063,            0.053118,           0.0087844,            0.025507,           0.0092674,           0.0092674,           0.0092674
                  39,            0.052234,            0.016878,            0.032161,             0.29409,             0.86364,             0.52272,             0.21301,            0.053172,            0.009309,            0.025711,           0.0092476,           0.0092476,           0.0092476
                  40,            0.052125,            0.013028,            0.028844,             0.33498,             0.82424,             0.52647,             0.13962,            0.053463,           0.0087792,            0.025177,           0.0092278,           0.0092278,           0.0092278
                  41,            0.046211,            0.013157,            0.027768,             0.29972,             0.84091,             0.63225,             0.37892,            0.053535,           0.0084648,            0.025106,            0.009208,            0.009208,            0.009208
                  42,            0.048917,            0.012581,            0.028216,             0.34089,             0.93182,             0.64521,             0.27698,            0.050665,           0.0081418,            0.024709,           0.0091882,           0.0091882,           0.0091882
                  43,            0.048696,             0.01361,            0.027424,             0.24078,             0.86364,             0.51184,             0.25103,             0.04881,           0.0083674,            0.024766,           0.0091684,           0.0091684,           0.0091684
                  44,             0.05015,            0.014078,            0.030988,             0.32063,             0.90909,              0.6238,             0.28393,            0.044093,           0.0081241,             0.02445,           0.0091486,           0.0091486,           0.0091486
                  45,             0.05023,            0.014113,             0.03254,             0.29025,             0.79545,             0.62348,             0.42538,            0.050329,           0.0075493,            0.024863,           0.0091288,           0.0091288,           0.0091288
                  46,            0.048056,            0.015053,            0.028622,             0.42112,             0.90909,             0.66213,               0.407,            0.051062,           0.0077037,            0.025066,            0.009109,            0.009109,            0.009109
                  47,            0.050429,            0.016177,            0.028948,             0.48444,               0.877,             0.64293,             0.39572,            0.043356,           0.0075275,            0.025317,           0.0090892,           0.0090892,           0.0090892
                  48,            0.046483,            0.014333,            0.028853,             0.40568,             0.86364,             0.60692,             0.28786,            0.047461,           0.0073897,            0.025642,           0.0090694,           0.0090694,           0.0090694
                  49,             0.04215,            0.012996,             0.03006,             0.48236,             0.81818,             0.65267,             0.43277,             0.04787,           0.0076218,            0.025326,           0.0090496,           0.0090496,           0.0090496
                  50,            0.045627,            0.012038,            0.027767,             0.34027,             0.86364,             0.56913,             0.27286,            0.052553,           0.0076004,            0.025201,           0.0090298,           0.0090298,           0.0090298
                  51,             0.04515,            0.011393,              0.0257,             0.51861,             0.93182,             0.68491,             0.43634,             0.04219,            0.007005,            0.025018,             0.00901,             0.00901,             0.00901
                  52,            0.044114,            0.011167,              0.0307,             0.52342,             0.93182,              0.6565,             0.36092,            0.045795,           0.0070866,            0.025122,           0.0089902,           0.0089902,           0.0089902
                  53,            0.047065,            0.012579,            0.028371,             0.44313,             0.76212,             0.70313,             0.46521,            0.043285,           0.0069724,            0.025298,           0.0089704,           0.0089704,           0.0089704
                  54,            0.046207,            0.014888,             0.02744,             0.51364,             0.94984,             0.70325,             0.41525,            0.040403,           0.0069662,            0.024935,           0.0089506,           0.0089506,           0.0089506
                  55,            0.044248,             0.01331,            0.029065,             0.57347,             0.81818,             0.72569,             0.39065,            0.045781,           0.0072138,            0.025107,           0.0089308,           0.0089308,           0.0089308
                  56,            0.043627,            0.012167,            0.028811,             0.53429,             0.93182,             0.74979,             0.45208,            0.039704,            0.006731,            0.024865,            0.008911,            0.008911,            0.008911
                  57,            0.043345,            0.013143,            0.027791,             0.57722,             0.82685,             0.72563,              0.4148,            0.051428,           0.0070524,            0.024685,           0.0088912,           0.0088912,           0.0088912
                  58,            0.048036,            0.013246,            0.030868,             0.55142,             0.95455,             0.75532,             0.51853,             0.03136,           0.0064348,            0.024903,           0.0088714,           0.0088714,           0.0088714
                  59,            0.036348,            0.013461,            0.028258,             0.50665,             0.70896,             0.68039,             0.41101,             0.04579,            0.006913,            0.024372,           0.0088516,           0.0088516,           0.0088516
                  60,            0.047745,            0.014378,            0.026523,             0.60141,             0.84091,             0.77603,             0.38953,            0.044529,           0.0067987,            0.023982,           0.0088318,           0.0088318,           0.0088318
                  61,            0.040794,            0.012754,            0.027654,             0.61357,             0.86364,             0.78288,             0.49532,            0.038657,           0.0065849,            0.023734,            0.008812,            0.008812,            0.008812
                  62,             0.04182,             0.01222,            0.026336,             0.68373,             0.81818,             0.78911,             0.46092,             0.03882,           0.0063483,            0.023125,           0.0087922,           0.0087922,           0.0087922
                  63,            0.040269,            0.010734,             0.02841,             0.67933,             0.70455,             0.76748,             0.48852,            0.042203,            0.006681,            0.023419,           0.0087724,           0.0087724,           0.0087724
                  64,            0.039199,            0.013447,            0.029481,             0.68676,             0.82637,             0.83156,              0.5225,             0.03236,             0.00633,            0.023217,           0.0087526,           0.0087526,           0.0087526
                  65,            0.029986,           0.0095829,            0.028176,             0.48011,             0.84091,             0.76205,             0.39737,            0.047913,           0.0064806,            0.022256,           0.0087328,           0.0087328,           0.0087328
                  66,            0.040864,            0.012088,            0.026439,             0.45024,             0.79545,             0.76881,             0.43706,            0.042585,           0.0063224,            0.022164,            0.008713,            0.008713,            0.008713
                  67,            0.041937,           0.0099963,            0.027911,             0.55806,             0.72727,             0.78066,             0.49582,            0.045554,           0.0068117,            0.022406,           0.0086932,           0.0086932,           0.0086932
                  68,            0.046216,            0.012925,            0.028922,             0.73628,             0.84091,             0.87188,             0.50078,            0.034736,           0.0063795,            0.022727,           0.0086734,           0.0086734,           0.0086734
                  69,            0.037591,            0.012095,            0.028146,             0.64716,             0.86364,             0.81748,             0.43983,             0.04453,            0.006562,            0.021936,           0.0086536,           0.0086536,           0.0086536
                  70,            0.043948,            0.011343,            0.024778,             0.75652,             0.86364,             0.91085,             0.60506,            0.033457,           0.0061729,            0.022067,           0.0086338,           0.0086338,           0.0086338
                  71,            0.035221,            0.010079,            0.024219,             0.67664,             0.86364,             0.83855,             0.41737,            0.043871,            0.006559,            0.020015,            0.008614,            0.008614,            0.008614
                  72,            0.045341,            0.010292,            0.031579,             0.69682,             0.91876,              0.8572,             0.54571,            0.034045,           0.0061229,            0.020689,           0.0085942,           0.0085942,           0.0085942
                  73,            0.040237,            0.011124,            0.024201,             0.77422,             0.95057,              0.9096,             0.55186,            0.037129,           0.0063876,             0.01994,           0.0085744,           0.0085744,           0.0085744
                  74,            0.041013,            0.014123,            0.023714,             0.73643,             0.93937,             0.80988,             0.40428,            0.035925,           0.0060827,            0.022765,           0.0085546,           0.0085546,           0.0085546
                  75,            0.037606,             0.01021,            0.025571,             0.74034,              0.9054,             0.80592,             0.48821,             0.03403,           0.0061311,            0.022595,           0.0085348,           0.0085348,           0.0085348
                  76,            0.035091,            0.010608,              0.0228,             0.77444,             0.93384,              0.9063,              0.3403,            0.041202,           0.0060907,            0.019488,            0.008515,            0.008515,            0.008515
                  77,             0.03556,             0.01005,            0.020935,             0.87504,             0.96759,             0.98253,             0.59208,            0.032415,           0.0061552,            0.015434,           0.0084952,           0.0084952,           0.0084952
                  78,              0.0404,           0.0097762,            0.025708,             0.93535,             0.97613,             0.98721,             0.49799,            0.040571,           0.0062366,            0.014573,           0.0084754,           0.0084754,           0.0084754
                  79,            0.039314,            0.013048,            0.023062,             0.86013,             0.93182,             0.93617,             0.51443,            0.032339,           0.0065013,            0.014199,           0.0084556,           0.0084556,           0.0084556
                  80,             0.03701,            0.013127,            0.021727,              0.9105,             0.91441,              0.9836,             0.56097,            0.040363,           0.0062204,            0.012853,           0.0084358,           0.0084358,           0.0084358
                  81,            0.037401,            0.012222,            0.020579,             0.67993,             0.90381,             0.83587,             0.40963,            0.033124,            0.006238,             0.01287,            0.008416,            0.008416,            0.008416
                  82,            0.034059,           0.0090297,            0.021024,             0.86001,             0.95437,             0.98144,              0.6355,            0.035922,           0.0061249,             0.01236,           0.0083962,           0.0083962,           0.0083962
                  83,            0.030885,           0.0097795,            0.020666,             0.67622,             0.96297,             0.71216,             0.40059,            0.036855,           0.0062021,            0.016064,           0.0083764,           0.0083764,           0.0083764
                  84,            0.033806,            0.009454,            0.019268,             0.91989,             0.93182,             0.97262,             0.67799,            0.033866,           0.0060266,            0.010945,           0.0083566,           0.0083566,           0.0083566
                  85,            0.036398,            0.010646,            0.016957,             0.93031,              0.8116,             0.95846,             0.50982,            0.035191,           0.0060314,            0.010507,           0.0083368,           0.0083368,           0.0083368
                  86,            0.036852,           0.0094967,            0.023574,              0.8106,             0.93366,             0.97288,              0.4355,            0.035356,           0.0059915,            0.012541,            0.008317,            0.008317,            0.008317
                  87,            0.039706,            0.011346,            0.017741,             0.61824,             0.89631,             0.88315,              0.5907,            0.036724,           0.0059306,            0.017114,           0.0082972,           0.0082972,           0.0082972
                  88,            0.038653,            0.011001,            0.017585,             0.66885,             0.86584,             0.88295,             0.57483,             0.03131,           0.0058789,            0.019915,           0.0082774,           0.0082774,           0.0082774
                  89,            0.033686,            0.010332,            0.018879,             0.67754,             0.97727,             0.74117,             0.44839,             0.03346,           0.0059175,            0.010448,           0.0082576,           0.0082576,           0.0082576
                  90,            0.034635,            0.011536,            0.014813,             0.69334,             0.97953,             0.85204,             0.44322,            0.039072,           0.0061062,            0.010306,           0.0082378,           0.0082378,           0.0082378
                  91,            0.042239,            0.010841,            0.015084,              0.8451,             0.93182,             0.95827,             0.63743,            0.034686,           0.0056673,            0.010359,            0.008218,            0.008218,            0.008218
                  92,            0.030828,            0.011325,            0.014222,             0.95952,                   1,             0.99244,             0.70066,            0.033378,           0.0057116,           0.0088527,           0.0081982,           0.0081982,           0.0081982
                  93,            0.032502,           0.0092489,            0.015492,             0.78465,             0.88636,             0.86831,              0.5473,            0.032846,           0.0056087,           0.0082804,           0.0081784,           0.0081784,           0.0081784
                  94,            0.033471,            0.010083,            0.014252,             0.92558,             0.99256,             0.99211,             0.65637,              0.0335,           0.0056665,           0.0080671,           0.0081586,           0.0081586,           0.0081586
                  95,            0.033175,            0.011357,            0.015225,             0.67113,             0.85373,             0.75399,             0.51035,            0.029938,           0.0056126,            0.028502,           0.0081388,           0.0081388,           0.0081388
                  96,            0.029814,            0.012081,            0.017014,             0.63945,             0.89456,             0.66818,             0.42109,             0.03369,           0.0057843,            0.016229,            0.008119,            0.008119,            0.008119
                  97,            0.037715,            0.010507,            0.015871,             0.85601,             0.95092,             0.97923,             0.61657,            0.030758,            0.005627,           0.0074876,           0.0080992,           0.0080992,           0.0080992
                  98,            0.031351,            0.010745,            0.014364,             0.68147,             0.91008,             0.94426,              0.5969,            0.038287,           0.0057592,           0.0074346,           0.0080794,           0.0080794,           0.0080794
                  99,            0.038427,           0.0095697,            0.013308,             0.79711,             0.90909,             0.93025,             0.56499,            0.031962,           0.0055012,           0.0067442,           0.0080596,           0.0080596,           0.0080596
                 100,            0.031784,            0.010037,            0.014385,             0.91819,             0.89779,             0.95821,             0.50541,            0.033419,           0.0055505,           0.0092151,           0.0080398,           0.0080398,           0.0080398
                 101,            0.033214,            0.011773,            0.012118,             0.72086,             0.88584,             0.85793,             0.55525,            0.031548,            0.005471,            0.012968,             0.00802,             0.00802,             0.00802
                 102,            0.034971,             0.01121,            0.015463,             0.94205,             0.99615,             0.98177,             0.69678,            0.034035,           0.0054728,           0.0084285,           0.0080002,           0.0080002,           0.0080002
                 103,            0.033891,           0.0098843,            0.013717,             0.82168,             0.96242,             0.93747,             0.64206,            0.035111,           0.0054474,            0.011249,           0.0079804,           0.0079804,           0.0079804
                 104,            0.036101,           0.0086346,            0.018576,             0.99634,             0.97348,             0.99413,             0.62671,            0.031223,           0.0056043,           0.0069234,           0.0079606,           0.0079606,           0.0079606
                 105,            0.031076,            0.011095,            0.013406,             0.92257,             0.84689,             0.94562,             0.62766,            0.030356,           0.0056779,            0.009806,           0.0079408,           0.0079408,           0.0079408
                 106,            0.033213,            0.010168,             0.01393,             0.96545,              0.8291,             0.96771,              0.7097,            0.029784,           0.0056803,           0.0089374,            0.007921,            0.007921,            0.007921
                 107,             0.03346,           0.0091082,            0.010474,             0.90303,             0.84848,             0.95222,             0.68007,            0.037341,           0.0056715,              0.0151,           0.0079012,           0.0079012,           0.0079012
                 108,            0.034726,            0.011201,           0.0099675,             0.90826,             0.91667,             0.97869,             0.72216,            0.027584,           0.0054852,            0.018386,           0.0078814,           0.0078814,           0.0078814
                 109,            0.030671,             0.01018,            0.014319,              0.9104,             0.81001,              0.9528,              0.6854,            0.037249,           0.0056413,            0.024728,           0.0078616,           0.0078616,           0.0078616
                 110,            0.034853,            0.011787,            0.013231,             0.91889,             0.82237,              0.9583,             0.57043,            0.026997,           0.0054646,            0.024642,           0.0078418,           0.0078418,           0.0078418
                 111,            0.033787,             0.01182,            0.013054,             0.89145,             0.80194,              0.9627,             0.64713,            0.037728,           0.0055393,             0.02297,            0.007822,            0.007822,            0.007822
                 112,            0.034368,            0.010234,            0.011206,             0.89652,             0.93514,             0.98783,             0.64464,            0.026614,           0.0054042,            0.015949,           0.0078022,           0.0078022,           0.0078022
                 113,             0.03237,            0.010162,            0.016768,             0.94058,             0.96247,             0.99304,             0.71511,            0.031783,            0.005544,            0.016285,           0.0077824,           0.0077824,           0.0077824
                 114,            0.031705,             0.01096,            0.010461,             0.97484,             0.99919,             0.99413,             0.65057,            0.029681,           0.0055377,           0.0073939,           0.0077626,           0.0077626,           0.0077626
                 115,            0.035161,             0.01082,            0.016157,             0.92509,             0.99248,             0.99012,             0.62401,            0.037015,           0.0055809,           0.0072245,           0.0077428,           0.0077428,           0.0077428
                 116,            0.029951,           0.0096998,           0.0099677,             0.94292,             0.99674,             0.99304,             0.67044,             0.02722,           0.0052241,           0.0065371,            0.007723,            0.007723,            0.007723
                 117,            0.031396,           0.0098419,           0.0090183,             0.80763,             0.92896,              0.9695,              0.6573,            0.033633,           0.0053554,           0.0051124,           0.0077032,           0.0077032,           0.0077032
                 118,            0.036856,           0.0091558,           0.0096438,             0.97392,                   1,             0.99304,             0.65224,             0.02917,           0.0051463,           0.0051327,           0.0076834,           0.0076834,           0.0076834
                 119,            0.031911,             0.00954,           0.0087042,             0.97184,                   1,             0.99413,             0.65373,            0.030628,           0.0054299,           0.0050662,           0.0076636,           0.0076636,           0.0076636
                 120,             0.03296,            0.011599,           0.0097916,             0.99853,             0.97559,             0.99413,             0.61455,            0.030914,           0.0054684,            0.005178,           0.0076438,           0.0076438,           0.0076438
                 121,            0.029472,            0.011824,           0.0076162,             0.79666,             0.97601,             0.97086,             0.68147,            0.031387,           0.0053507,           0.0054292,            0.007624,            0.007624,            0.007624
                 122,            0.035592,            0.011268,           0.0094325,             0.99654,              0.9743,             0.99333,             0.66973,             0.02901,           0.0052362,           0.0055903,           0.0076042,           0.0076042,           0.0076042
                 123,            0.028792,             0.01025,           0.0095814,             0.85546,             0.96165,             0.97757,             0.66442,            0.028133,           0.0054791,           0.0089868,           0.0075844,           0.0075844,           0.0075844
